line,place_geoid,place_pop,poverty_perc,placeOverall1,valueOverall1,placeSF1,valueSF1,placeMF1,valueMF1,placeSmallBiz1,valueSmallBiz1,placeNonRes1,valueNonRes1,placeMission1,valueMission1,placePublic1,valuePublic1
1,3651000,8419316,0.18407093,"Washington, DC",34959.863,"Arlington, VA",37912.707,"Chula Vista, CA",9284.626,"Anchorage, AK",9750.129,"Reno, NV",11983.305,"New Orleans, LA",926.52027,"Reno, NV",922.967769
2,644000,3958236,0.18893408,"Denver, CO",33820.266,"Washington, DC",37357.103,"San Francisco, CA",9247.116,"New Orleans, LA",8780.942,"Jersey City, NJ",10589.69391,"Cincinnati, OH",851.53154,"Newark, NJ",833.052503
3,1714000,2708837,0.1961173,"Fremont, CA",33662.406,"San Francisco, CA",36599.206,"Anaheim, CA",8723.567,"Plano, TX",7780.717,"Henderson, NV",10281.38083,"Washington, DC",819.33914,"Miami, FL",770.70491
4,4835000,2216995,0.20279112,"Seattle, WA",33275.569,"Fremont, CA",34878.716,"Philadelphia, PA",8616.797,"Chandler, AZ",7698.876,"Aurora, CO",9321.17145,"St. Louis, MO",818.17248,"Atlanta, GA",692.877251
5,455000,1623042,0.19157485,"San Francisco, CA",30813.394,"Seattle, WA",34200.349,"Los Angeles, CA",8495.895,"Gilbert, AZ",7362.785,"North Las Vegas, NV",9243.49147,"El Paso, TX",811.04512,"Denver, CO",668.834306
6,4260000,1579075,0.24380579,"Gilbert, AZ",30548.119,"Irvine, CA",33494.164,"Santa Ana, CA",8261.584,"Scottsdale, AZ",7333.06,"Las Vegas, NV",9207.01171,"Newark, NJ",670.01762,"Seattle, WA",557.755733
7,4865000,1472533,0.18579064,"Scottsdale, AZ",30419.284,"Boston, MA",31567.992,"Fremont, CA",7557.391,"Winston-Salem, NC",6819.408,"Arlington, TX",9063.02208,"Baltimore, MD",542.0446,"Cleveland, OH",506.013217
8,666000,1397114,0.13849751,"Paradise, NV",28941.618,"Gilbert, AZ",31371.836,"Oakland, CA",7324.789,"Denver, CO",6788.109,"Denver, CO",8944.39189,"Cleveland, OH",530.09625,"Boston, MA",505.263162
9,4819000,1338803,0.19856973,"San Jose, CA",28268.707,"Denver, CO",30016.023,"Colorado Springs, CO",7186.193,"Fort Worth, TX",6718.937,"Chicago, IL",8648.30079,"Milwaukee, WI",506.91236,"Pittsburgh, PA",479.069041
10,668000,996048,0.10062223,"Irvine, CA",28254.226,"San Jose, CA",29293.859,"San Jose, CA",7145.71,"Irving, TX",6699.622,"Anchorage, AK",8635.7298,"Kansas City, MO",480.88667,"Buffalo, NY",474.69362
11,1235000,896027,0.16102046,"Arlington, VA",27536.016,"Oakland, CA",28282.4,"Chandler, AZ",7127.274,"Charlotte, NC",6676.156,"Glendale, AZ",8468.02647,"Oakland, CA",475.41938,"Jersey City, NJ",442.911362
12,4805000,895544,0.15261985,"Reno, NV",26656.448,"Atlanta, GA",28169.911,"Denver, CO",7124.175,"Nashville, TN",6494.883,"Mesa, AZ",8449.65277,"Detroit, MI",460.77174,"San Francisco, CA",408.103149
13,667000,874961,0.11958074,"Plano, TX",26059.329,"San Diego, CA",27544.83,"Gilbert, AZ",7065.905,"Raleigh, NC",6466.174,"Fort Worth, TX",8194.3098,"Durham, NC",449.72565,"Minneapolis, MN",407.055817
14,1836003,867836,0.19384734,"Austin, TX",26056.978,"Chula Vista, CA",27299.014,"Jersey City, NJ",6993.577,"Lexington, KY",6443.356,"San Bernardino, CA",8181.84791,"Boston, MA",446.20961,"Detroit, MI",395.604638
15,4827000,857013,0.16542389,"Atlanta, GA",26033.738,"Los Angeles, CA",27051.274,"Portland, OR",6768.885,"Greensboro, NC",6302.763,"Austin, TX",8042.11844,"Tampa, FL",429.86837,"Baltimore, MD",389.720356
16,3712000,829406,0.14608682,"San Diego, CA",25693.931,"Jersey City, NJ",25861.173,"Durham, NC",6732.215,"Atlanta, GA",6271.365,"Riverside, CA",7861.8722,"Pittsburgh, PA",413.00886,"St. Paul, MN",381.990297
17,3918000,791886,0.21048145,"Chandler, AZ",25472.939,"Scottsdale, AZ",25033.515,"Riverside, CA",6696.03,"Louisville, KY",6271.321,"Washington, DC",7837.98542,"San Francisco, CA",410.83085,"New Orleans, LA",378.221977
18,5363000,724209,0.12233381,"Charlotte, NC",25466.792,"Austin, TX",23279.494,"Boston, MA",6567.306,"Henderson, NV",6245.782,"Plano, TX",7761.48601,"Chicago, IL",410.32728,"New York, NY",359.198304
19,820000,705576,0.14654847,"Anaheim, CA",25339.865,"Aurora, CO",22776.713,"Long Beach, CA",6357.342,"Indianapolis, IN",6138.874,"Gilbert, AZ",7568.09472,"Atlanta, GA",402.29696,"Toledo, OH",357.690935
20,1150000,692683,0.16591605,"Boston, MA",25211.363,"Anchorage, AK",22648.918,"Aurora, CO",6343.59,"Laredo, TX",6098.372,"Chula Vista, CA",7559.77644,"St. Paul, MN",387.26998,"Austin, TX",338.545311
21,2507000,684312,0.20103271,"Chesapeake, VA",24849.301,"Chandler, AZ",22568.039,"Seattle, WA",6275.687,"Irvine, CA",6082.35,"Los Angeles, CA",7502.30301,"Arlington, VA",375.00551,"Fort Wayne, IN",336.194487
22,2622000,674841,0.36910927,"Irving, TX",24797.732,"Henderson, NV",22263.371,"Charlotte, NC",6259.269,"Tulsa, OK",6055.957,"Kansas City, MO",7456.07607,"Minneapolis, MN",370.07332,"Milwaukee, WI",331.673893
23,4752006,659524,0.16872275,"Chula Vista, CA",24427.785,"North Las Vegas, NV",21987.314,"Richmond, VA",6221.487,"Mesa, AZ",6030.282,"Lubbock, TX",7371.01346,"Santa Ana, CA",364.61918,"Orlando, FL",320.441151
24,4055000,653380,0.16548716,"Aurora, CO",24363.292,"Long Beach, CA",21799.821,"Sacramento, CA",6193.698,"Lubbock, TX",6006.195,"Chandler, AZ",7173.0223,"Memphis, TN",363.04944,"Henderson, NV",307.018634
25,2148006,649014,0.16713325,"Los Angeles, CA",24355.992,"Portland, OR",21631.32,"Henderson, NV",6185.056,"Aurora, CO",5794.463,"Stockton, CA",6840.99985,"Lubbock, TX",360.88693,"St. Louis, MO",287.062888
26,4159000,644934,0.15893355,"Portland, OR",24250.677,"Colorado Springs, CO",21175.689,"Columbus, OH",6026.293,"Dallas, TX",5794.091,"Oakland, CA",6791.36672,"Richmond, VA",346.15785,"Oakland, CA",275.364829
27,4748000,637367,0.25633534,"Henderson, NV",24160.891,"Anaheim, CA",20787.556,"San Diego, CA",5918.495,"Oklahoma City, OK",5763.161,"Albuquerque, NM",6785.831,"Los Angeles, CA",342.6638,"Tulsa, OK",274.174304
28,4824000,635683,0.2143408,"Jersey City, NJ",23289.833,"Charlotte, NC",20183.118,"Kansas City, MO",5639.453,"Wichita, KS",5662.86,"Indianapolis, IN",6736.86302,"Philadelphia, PA",298.08728,"Cincinnati, OH",270.846453
29,3240000,627430,0.16025757,"Anchorage, AK",22974.229,"Chesapeake, VA",20142.241,"Minneapolis, MN",5424.349,"Arlington, TX",5636.389,"San Diego, CA",6623.36778,"Orlando, FL",297.11531,"Aurora, CO",266.615375
30,2404000,609032,0.21938224,"Oakland, CA",22884.472,"Honolulu, HI",19754.8,"Glendale, AZ",5418.705,"Phoenix, AZ",5614.327,"Charlotte, NC",6602.75028,"Omaha, NE",279.12265,"Madison, WI",263.754411
31,5553000,594722,0.26148237,"Honolulu, HI",21760.025,"Tampa, FL",19531.268,"Newark, NJ",5328.733,"Houston, TX",5570.484,"St. Louis, MO",6564.80469,"Denver, CO",277.35206,"Louisville, KY",253.413574
32,3502000,518720,0.18439474,"Phoenix, AZ",21690.491,"Virginia Beach, VA",18627.98,"St. Paul, MN",5302.915,"Anaheim, CA",5554.043,"Madison, WI",6553.53366,"Seattle, WA",274.2425,"Washington, DC",244.984608
33,477000,496358,0.24690565,"Colorado Springs, CO",21514.343,"Nashville, TN",18392.974,"Washington, DC",5302.402,"Austin, TX",5473.625,"Corpus Christi, TX",6515.60241,"Portland, OR",271.28103,"Arlington, VA",229.995345
34,2938000,487301,0.1744169,"Raleigh, NC",21376.679,"Sacramento, CA",18098.989,"Chesapeake, VA",5268.274,"Durham, NC",5439.759,"Fremont, CA",6506.80944,"Albuquerque, NM",253.10075,"Albuquerque, NM",225.325962
35,446000,485428,0.1560415,"Nashville, TN",21277.296,"Raleigh, NC",17999.287,"Raleigh, NC",5182.671,"Fremont, CA",5438.194,"Chesapeake, VA",6491.63237,"New York, NY",249.68948,"El Paso, TX",214.3082
36,664000,481157,0.18745482,"Madison, WI",21173.767,"New York, NY",17958.86,"Austin, TX",5135.905,"Tampa, FL",5418.225,"Phoenix, AZ",6456.03423,"Anchorage, AK",230.89607,"Sacramento, CA",213.926397
37,1304000,478991,0.21201831,"Riverside, CA",21151.86,"Phoenix, AZ",17750.269,"Phoenix, AZ",5042.824,"Cincinnati, OH",5314.463,"Garland, TX",6448.33004,"Greensboro, NC",213.5301,"Memphis, TN",203.062145
38,627000,474866,0.27187547,"North Las Vegas, NV",20988.151,"Reno, NV",17724.105,"Oklahoma City, OK",5011.11,"St. Petersburg, FL",5229.15,"Colorado Springs, CO",6342.09495,"Fort Wayne, IN",212.26211,"Anaheim, CA",202.875371
39,643000,468759,0.17572378,"Fort Worth, TX",20496.796,"Orlando, FL",17483.701,"Nashville, TN",4970.342,"Columbus, OH",5223.78,"San Jose, CA",6329.04746,"San Antonio, TX",212.25195,"Fort Worth, TX",202.73046
40,1245000,455866,0.25330771,"Chicago, IL",20449.54,"Las Vegas, NV",16976.169,"San Bernardino, CA",4773.255,"Fort Wayne, IN",5071.034,"Newark, NJ",6244.36838,"Jersey City, NJ",201.9603,"Los Angeles, CA",198.825183
41,816000,454512,0.13086948,"Santa Ana, CA",20181.869,"Riverside, CA",16871.025,"Jacksonville, FL",4763.849,"Lincoln, NE",5068.887,"Portland, OR",6233.07287,"St. Petersburg, FL",197.13322,"Richmond, VA",195.44573
42,5182000,450201,0.07807206,"Durham, NC",19952.239,"Minneapolis, MN",16323.473,"Fort Worth, TX",4670.984,"Omaha, NE",5032.926,"Long Beach, CA",6206.041,"Miami, FL",196.76407,"Chicago, IL",189.837814
43,3755000,441128,0.1434918,"Kansas City, MO",19214.321,"Norfolk, VA",16309.62,"Baltimore, MD",4651.993,"Los Angeles, CA",5010.671,"Seattle, WA",6159.73566,"San Diego, CA",196.39764,"Indianapolis, IN",188.968954
44,653000,425097,0.17461627,"Virginia Beach, VA",18905.939,"Dallas, TX",16266.188,"Greensboro, NC",4638.523,"Pittsburgh, PA",4988.957,"Scottsdale, AZ",6147.32685,"San Bernardino, CA",191.79254,"Oklahoma City, OK",186.969814
45,2743000,417039,0.19726545,"Dallas, TX",18867.966,"Mesa, AZ",16212.521,"Fresno, CA",4515.241,"Chicago, IL",4981.166,"Dallas, TX",6027.86286,"Winston-Salem, NC",171.78589,"Portland, OR",181.578158
46,3137000,411452,0.15863295,"Tampa, FL",18636.697,"Chicago, IL",16165.457,"Omaha, NE",4409.883,"San Antonio, TX",4906.462,"San Francisco, CA",6015.10642,"Oklahoma City, OK",162.68312,"Tampa, FL",170.871354
47,4075000,400704,0.19294342,"Las Vegas, NV",18600.131,"Irving, TX",15936.214,"Indianapolis, IN",4371.325,"Richmond, VA",4890.784,"Miami, FL",5984.49545,"Corpus Christi, TX",161.85347,"Fresno, CA",168.963869
48,4804000,395972,0.15902641,"Indianapolis, IN",18245.344,"Richmond, VA",15840.418,"Scottsdale, AZ",4361.162,"San Diego, CA",4856.598,"Fort Wayne, IN",5943.81681,"Tucson, AZ",161.7549,"Long Beach, CA",166.260456
49,1271000,390935,0.1926866,"Long Beach, CA",18116.855,"Plano, TX",15546.698,"Mesa, AZ",4358.483,"Colorado Springs, CO",4847.963,"Santa Ana, CA",5940.12717,"San Jose, CA",158.21326,"San Jose, CA",164.593814
50,2255000,390845,0.25203863,"Mesa, AZ",18003.125,"Durham, NC",15259.909,"Madison, WI",4357.355,"Glendale, AZ",4834.752,"Anaheim, CA",5877.06333,"Madison, WI",157.16156,"Stockton, CA",163.638477
51,3916000,385442,0.34036907,"Richmond, VA",17988.896,"Madison, WI",15049.211,"Pittsburgh, PA",4328.471,"Minneapolis, MN",4818.019,"Paradise, NV",5866.86687,"Charlotte, NC",154.28515,"Norfolk, VA",163.424236
52,2079000,359643,0.17602417,"Minneapolis, MN",17758.463,"Houston, TX",14771.866,"Reno, NV",4288.225,"Corpus Christi, TX",4797.715,"Irving, TX",5779.013,"Fresno, CA",153.47291,"Columbus, OH",159.884876
53,1571550,349925,0.11705363,"Arlington, TX",17558.347,"Fort Worth, TX",14388.39,"Plano, TX",4233.643,"El Paso, TX",4776.624,"Sacramento, CA",5767.67856,"Anaheim, CA",141.24924,"Philadelphia, PA",156.447303
54,804000,347084,0.13519151,"Houston, TX",17513.022,"Bakersfield, CA",14347.262,"Bakersfield, CA",4220.974,"St. Louis, MO",4759.626,"San Antonio, TX",5760.38919,"Tulsa, OK",141.23488,"San Diego, CA",156.384589
55,669000,325491,0.18398892,"Orlando, FL",17215.611,"Stockton, CA",13841.531,"Lexington, KY",4202.853,"Garland, TX",4681.318,"Durham, NC",5729.61185,"Long Beach, CA",140.28584,"Tucson, AZ",152.577183
56,2146027,320601,0.18254514,"Sacramento, CA",17120.079,"Miami, FL",13810.923,"New York, NY",4180.239,"Kansas City, MO",4667.271,"Toledo, OH",5659.22914,"Austin, TX",139.69128,"Omaha, NE",149.151253
57,662000,318451,0.16503612,"Oklahoma City, OK",17016.85,"Paradise, NV",13483.518,"Arlington, VA",4158.22,"Jacksonville, FL",4666.136,"Bakersfield, CA",5510.30931,"Raleigh, NC",135.6118,"San Bernardino, CA",146.61662
58,603526,316044,0.19763956,"St. Louis, MO",16742.89,"Santa Ana, CA",13246.987,"Wichita, KS",4103.272,"Reno, NV",4656.316,"Raleigh, NC",5482.66077,"Dallas, TX",134.27752,"Raleigh, NC",146.220666
59,4817000,315844,0.16950349,"Omaha, NE",16615.433,"Lexington, KY",12897.37,"St. Louis, MO",4085.148,"Seattle, WA",4612.192,"Philadelphia, PA",5472.05868,"Nashville, TN",133.62247,"Houston, TX",145.465171
60,602000,315266,0.14443493,"San Bernardino, CA",16517.409,"San Bernardino, CA",12797.784,"Las Vegas, NV",4078.033,"Portland, OR",4608.881,"Omaha, NE",5431.93278,"Indianapolis, IN",131.67659,"Kansas City, MO",143.570753
61,3915000,310301,0.27105431,"Glendale, AZ",15943.269,"Glendale, AZ",12768.711,"Irving, TX",4056.851,"Jersey City, NJ",4592.602,"Detroit, MI",5391.16357,"Buffalo, NY",131.21704,"Bakersfield, CA",141.532933
62,2965000,308174,0.23718308,"Albuquerque, NM",15782.401,"New Orleans, LA",12534.816,"San Antonio, TX",4021.492,"Las Vegas, NV",4574.325,"Cleveland, OH",5352.67721,"Louisville, KY",126.90408,"Nashville, TN",140.507432
63,2758000,304547,0.19590807,"Lubbock, TX",15610.519,"St. Paul, MN",12528.656,"Atlanta, GA",4012.658,"Orlando, FL",4518.266,"Irvine, CA",5324.11956,"Sacramento, CA",126.24297,"Charlotte, NC",139.244253
64,4261000,302205,0.21540089,"Bakersfield, CA",15492.372,"Fresno, CA",12415.453,"Arlington, TX",3998.412,"Toledo, OH",4475.833,"New Orleans, LA",5263.88088,"North Las Vegas, NV",123.98504,"St. Petersburg, FL",137.053638
65,4858016,298172,0.07121685,"New York, NY",15419.333,"Oklahoma City, OK",12371.011,"Chicago, IL",3998.154,"Hialeah, FL",4428.953,"Houston, TX",5204.08751,"Irving, TX",118.87789,"Santa Ana, CA",135.063098
66,203000,293531,0.08645058,"New Orleans, LA",15359.576,"St. Petersburg, FL",12314.481,"Louisville, KY",3980.953,"Memphis, TN",4427.834,"Honolulu, HI",5185.38723,"Hialeah, FL",116.18025,"Honolulu, HI",134.690382
67,3231900,293098,0.08839559,"Louisville, KY",15140.075,"Jacksonville, FL",12276.344,"Milwaukee, WI",3954.372,"North Las Vegas, NV",4425.923,"Nashville, TN",5136.44421,"Aurora, CO",115.4783,"North Las Vegas, NV",132.678827
68,675000,283060,0.22240478,"San Antonio, TX",14796.973,"Kansas City, MO",11580.03,"Orlando, FL",3947.453,"San Jose, CA",4423.643,"Columbus, OH",5075.67884,"Fort Worth, TX",113.61503,"San Antonio, TX",129.140319
69,1253000,281194,0.18769889,"Columbus, OH",14773.066,"Cincinnati, OH",11085.277,"Tulsa, OK",3877.923,"Virginia Beach, VA",4392.658,"Laredo, TX",4996.00607,"Columbus, OH",112.30127,"Corpus Christi, TX",127.72403
70,3451000,281054,0.28496739,"Greensboro, NC",14193.987,"Louisville, KY",10669.805,"Garland, TX",3875.18,"Long Beach, CA",4386.931,"Louisville, KY",4990.789,"Stockton, CA",112.09124,"Winston-Salem, NC",126.60247
71,3977000,276033,0.26271411,"Tulsa, OK",14044.876,"Newark, NJ",10340.424,"Tampa, FL",3734.609,"Chesapeake, VA",4379.704,"El Paso, TX",4939.35792,"Riverside, CA",109.18453,"Fremont, CA",120.906952
72,3728000,274274,0.1882481,"Miami, FL",14041.851,"Arlington, TX",10009.838,"Virginia Beach, VA",3697.892,"St. Paul, MN",4377.485,"Oklahoma City, OK",4896.49699,"Paradise, NV",107.37765,"Lexington, KY",120.756772
73,613392,263318,0.11593213,"Stockton, CA",13899.866,"Columbus, OH",9979.686,"Winston-Salem, NC",3695.241,"Honolulu, HI",4372.978,"Memphis, TN",4855.78092,"Houston, TX",104.51394,"Phoenix, AZ",120.259612
74,1263000,263013,0.14977593,"Corpus Christi, TX",13780.631,"Baltimore, MD",9857.085,"Lubbock, TX",3681.794,"Stockton, CA",4363.538,"Atlanta, GA",4809.93319,"Phoenix, AZ",99.23917,"Las Vegas, NV",114.923245
75,3436000,261940,0.17620978,"St. Paul, MN",13760.53,"Corpus Christi, TX",9798.977,"Albuquerque, NM",3679.661,"Milwaukee, WI",4335.047,"Lincoln, NE",4781.20978,"Fremont, CA",97.50041,"Mesa, AZ",113.347522
76,3611000,256480,0.29831465,"Norfolk, VA",13646.864,"Albuquerque, NM",9782.802,"New Orleans, LA",3580.385,"Philadelphia, PA",4231.545,"Tucson, AZ",4735.60692,"Irvine, CA",96.414,"Durham, NC",106.541975
77,412000,254892,0.08464939,"Winston-Salem, NC",13550.492,"Indianapolis, IN",9779.126,"Dallas, TX",3439.231,"Chula Vista, CA",4220.44,"Boston, MA",4734.50841,"Honolulu, HI",96.14513,"Anchorage, AK",96.546106
78,3128000,251778,0.16011109,"Newark, NJ",13431.365,"Lubbock, TX",9564.827,"North Las Vegas, NV",3348.541,"Miami, FL",4210.491,"Greensboro, NC",4722.71174,"Jacksonville, FL",94.69985,"Irvine, CA",94.826079
79,5548000,248881,0.18117954,"Milwaukee, WI",13366.147,"Lincoln, NE",9488.003,"Lincoln, NE",3338.117,"San Francisco, CA",4204.279,"New York, NY",4624.11067,"Lexington, KY",94.16278,"Colorado Springs, CO",85.870436
80,427400,245537,0.05875518,"St. Petersburg, FL",13261.081,"Winston-Salem, NC",9314.856,"Buffalo, NY",3320.37,"Albuquerque, NM",4176.394,"Fresno, CA",4575.071,"Las Vegas, NV",90.69068,"Riverside, CA",81.766403
81,5157000,244601,0.19070385,"Lincoln, NE",13213.374,"Tulsa, OK",9303.016,"Stockton, CA",3305.898,"Tucson, AZ",4097.762,"Milwaukee, WI",4422.14131,"Toledo, OH",90.09314,"Dallas, TX",81.659799
82,427820,244548,0.1887481,"Philadelphia, PA",13170.139,"San Antonio, TX",9295.705,"Corpus Christi, TX",3277.52,"Boston, MA",4060.362,"Hialeah, FL",4317.61851,"Reno, NV",82.10272,"Laredo, TX",81.1531
83,465000,241960,0.0856928,"Fort Wayne, IN",12890.427,"Omaha, NE",9012.419,"Cincinnati, OH",3152.441,"Santa Ana, CA",4014.214,"Wichita, KS",4262.92655,"Norfolk, VA",80.45738,"Greensboro, NC",78.044311
84,636770,241167,0.12589461,"Fresno, CA",12724.589,"Philadelphia, PA",8936.805,"St. Petersburg, FL",3124.101,"Oakland, CA",3953.382,"Tulsa, OK",4256.17376,"Henderson, NV",79.78699,"Wichita, KS",73.741727
85,4829000,240563,0.14054246,"Jacksonville, FL",12664.709,"Greensboro, NC",8852.871,"Paradise, NV",2969.521,"Arlington, VA",3898.876,"Baltimore, MD",4218.53489,"Lincoln, NE",78.01354,"Jacksonville, FL",72.451772
86,5116000,239982,0.08967871,"Cincinnati, OH",12559.192,"St. Louis, MO",8704.636,"Irvine, CA",2960.856,"Bakersfield, CA",3890.365,"Winston-Salem, NC",3908.07246,"Bakersfield, CA",74.52376,"Chula Vista, CA",70.751065
87,3251800,239165,0.14517348,"Baltimore, MD",12280.631,"Tucson, AZ",8409.86,"Laredo, TX",2933.174,"Riverside, CA",3872.787,"Arlington, VA",3868.43307,"Colorado Springs, CO",71.93674,"Chesapeake, VA",66.849324
88,4845000,238668,0.21109814,"Memphis, TN",12025.163,"Pittsburgh, PA",8162.873,"Fort Wayne, IN",2891.925,"Sacramento, CA",3836.15,"Richmond, VA",3805.05923,"Arlington, TX",64.38009,"Lincoln, NE",62.136114
89,1230000,238333,0.23942516,"Garland, TX",11744.571,"Garland, TX",7880.256,"Cleveland, OH",2733.44,"Norfolk, VA",3835.913,"Minneapolis, MN",3440.05542,"Chandler, AZ",55.0842,"Lubbock, TX",59.516672
90,626000,235740,0.05173946,"Wichita, KS",11682.92,"Wichita, KS",7484.543,"Norfolk, VA",2711.299,"Paradise, NV",3681.949,"Virginia Beach, VA",3438.4801,"Glendale, AZ",52.88997,"Virginia Beach, VA",57.408937
91,3260600,233658,0.16822577,"El Paso, TX",11624.491,"Hialeah, FL",6661.396,"Memphis, TN",2704.441,"Baltimore, MD",3672.431,"St. Petersburg, FL",3418.51365,"Plano, TX",50.53309,"Garland, TX",53.480278
92,5103000,233464,0.07763508,"Laredo, TX",11289.004,"El Paso, TX",6612.531,"Houston, TX",2700.613,"Madison, WI",3493.053,"Cincinnati, OH",3403.81695,"Gilbert, AZ",46.70956,"Arlington, TX",52.216022
93,3719000,233418,0.1898224,"Cleveland, OH",10800.912,"Laredo, TX",6482.776,"Tucson, AZ",2663.514,"San Bernardino, CA",3471.804,"Tampa, FL",3120.39291,"Mesa, AZ",40.13746,"Glendale, AZ",44.964197
94,1825000,231527,0.18543788,"Tucson, AZ",10613.214,"Fort Wayne, IN",6457.651,"El Paso, TX",2569.278,"Cleveland, OH",3454.582,"St. Paul, MN",2995.93562,"Scottsdale, AZ",38.90917,"Paradise, NV",41.999881
95,3254600,231006,0.17919847,"Lexington, KY",9821.712,"Memphis, TN",5971.902,"Anchorage, AK",2412.728,"Washington, DC",3425.458,"Orlando, FL",2905.60404,"Chula Vista, CA",36.56719,"Irving, TX",31.851138
96,665000,230683,0.28589593,"Pittsburgh, PA",9326.143,"Milwaukee, WI",5837.399,"Toledo, OH",2102.691,"Fresno, CA",3388.613,"Norfolk, VA",2406.77891,"Wichita, KS",31.5018,"Hialeah, FL",26.287598
97,4837000,230580,0.13568597,"Toledo, OH",8191.118,"Buffalo, NY",4326.062,"Honolulu, HI",1797.861,"New York, NY",3319.654,"Jacksonville, FL",2333.53135,"Laredo, TX",29.29541,"Plano, TX",17.086403
98,3775000,226687,0.22664599,"Hialeah, FL",8162.832,"Toledo, OH",3108.67,"Miami, FL",1789.74,"Buffalo, NY",3298.016,"Buffalo, NY",1507.43455,"Garland, TX",27.54916,"Chandler, AZ",4.781507
99,5167000,226622,0.23486739,"Detroit, MI",6271.049,"Cleveland, OH",2976.825,"Hialeah, FL",1561.211,"Newark, NJ",3214.436,"Pittsburgh, PA",1157.54127,"Virginia Beach, VA",17.06871,"Gilbert, AZ",3.958541
100,4841464,221149,0.30484365,"Buffalo, NY",5217.22,"Detroit, MI",1043.953,"Detroit, MI",1070.615,"Detroit, MI",2877.753,"Lexington, KY",95.65947,"Chesapeake, VA",12.51861,"Scottsdale, AZ",1.863374